ROLL_DMP,ROLL_ACC,ROLL_RATE_DMP,ROLL_RATE_GYRO
9.9454,17.3703,-5.4268,-5.4268
9.9456,17.4303,-5.4878,-5.4878
9.9463,17.2794,-5.4268,-5.4268
9.9463,17.5302,-5.4878,-5.4878
9.9473,17.3148,-5.4268,-5.4268
9.9476,17.2810,-5.4878,-5.4878
9.9478,17.3378,-5.3659,-5.3659
9.9484,17.2713,-5.4268,-5.4268
9.9484,17.4384,-5.4878,-5.4878
9.9486,17.2739,-5.4878,-5.4878
9.9493,17.5248,-5.4268,-5.4268
9.9506,17.3596,-5.4878,-5.4878
9.9506,17.2994,-5.4878,-5.4878
9.9505,17.5558,-5.6707,-5.6707
9.9516,17.2941,-5.3659,-5.3659
9.9528,17.3668,-5.4878,-5.4878
9.9531,17.3463,-5.4878,-5.4878
9.9541,17.3365,-5.4878,-5.4878
9.9553,17.1248,-5.4268,-5.4268
9.9547,17.5650,-5.4878,-5.4878
9.9562,17.5086,-5.4878,-5.4878
9.9566,17.4367,-5.4268,-5.4268
9.9572,17.3887,-5.4878,-5.4878
9.9575,17.3626,-5.4268,-5.4268
9.9581,17.5673,-5.4268,-5.4268
9.9594,17.3320,-5.4878,-5.4878
9.9593,17.4003,-5.5488,-5.5488
9.9592,17.3536,-5.4268,-5.4268
9.9600,17.3250,-5.3659,-5.3659
9.9618,17.4602,-5.4268,-5.4268
9.9625,17.4901,-5.4878,-5.4878
9.9628,17.2396,-5.4268,-5.4268
9.9631,17.3447,-5.4268,-5.4268
9.9634,17.4249,-5.4878,-5.4878
9.9644,17.3609,-5.4268,-5.4268
9.9648,17.3137,-5.4268,-5.4268
9.9660,17.3370,-5.4268,-5.4268
9.9670,17.2733,-5.4268,-5.4268
9.9663,17.4587,-5.5488,-5.5488
9.9667,17.4462,-5.4268,-5.4268
9.9669,17.2989,-5.4878,-5.4878
9.9684,17.3975,-5.4268,-5.4268
9.9681,17.2563,-5.4878,-5.4878
9.9684,17.3391,-5.4878,-5.4878
9.9687,17.5004,-5.4878,-5.4878
9.9701,17.3100,-5.5488,-5.5488
9.9708,17.2744,-5.4268,-5.4268
9.9707,17.3519,-5.3659,-5.3659
9.9709,17.4047,-5.4878,-5.4878
9.9709,17.5345,-5.4268,-5.4268
9.9723,17.2016,-5.4878,-5.4878
9.9717,17.2015,-5.4268,-5.4268
9.9703,17.3233,-5.4268,-5.4268
9.9701,17.4771,-5.4268,-5.4268
9.9697,17.4357,-5.5488,-5.5488
9.9704,17.3450,-5.4878,-5.4878
9.9707,17.3927,-5.4878,-5.4878
9.9702,17.2481,-5.5488,-5.5488
9.9680,17.0843,-5.4878,-5.4878
9.9665,17.4268,-5.4878,-5.4878
9.9672,17.4429,-5.4268,-5.4268
9.9682,17.4669,-5.4878,-5.4878
9.9689,17.2936,-5.4878,-5.4878
9.9681,17.2346,-5.4878,-5.4878
9.9688,17.3733,-5.4268,-5.4268
9.9693,17.3181,-5.4268,-5.4268
9.9694,17.3843,-5.4878,-5.4878
9.9697,17.3399,-5.4878,-5.4878
9.9707,17.3434,-5.4268,-5.4268
9.9705,17.5180,-5.4878,-5.4878
9.9715,17.2765,-5.3659,-5.3659
9.9719,17.2895,-5.4268,-5.4268
9.9722,17.4208,-5.4268,-5.4268
9.9723,17.2906,-5.4268,-5.4268
9.9727,17.2646,-5.4878,-5.4878
9.9725,17.3168,-5.4878,-5.4878
9.9729,17.3923,-5.4268,-5.4268
9.9731,17.5338,-5.4268,-5.4268
9.9743,17.4120,-5.4878,-5.4878
9.9751,17.3523,-5.4268,-5.4268
9.9752,17.2189,-5.4878,-5.4878
9.9745,17.3741,-5.4268,-5.4268
9.9734,17.3387,-5.4878,-5.4878
9.9738,17.2963,-5.4878,-5.4878
9.9732,17.4166,-5.4878,-5.4878
9.9740,17.4657,-5.4268,-5.4268
9.9756,17.5796,-5.4268,-5.4268
9.9775,17.2483,-5.4878,-5.4878
9.9778,17.4421,-5.4268,-5.4268
9.9782,17.2110,-5.4268,-5.4268
9.9778,17.4478,-5.4878,-5.4878
9.9783,17.1689,-5.3659,-5.3659
9.9795,17.3198,-5.3659,-5.3659
9.9801,17.2653,-5.4268,-5.4268
9.9790,17.4185,-5.4878,-5.4878
9.9794,17.1731,-5.4878,-5.4878
9.9786,17.2528,-5.4268,-5.4268
9.9782,17.3993,-5.4878,-5.4878
9.9787,17.1863,-5.4878,-5.4878
9.9783,17.2631,-5.4268,-5.4268
9.9779,17.2985,-5.4268,-5.4268
9.9783,17.3767,-5.4268,-5.4268
9.9789,17.5821,-5.4268,-5.4268
9.9792,17.4560,-5.4878,-5.4878
9.9795,17.4706,-5.4268,-5.4268
9.9801,17.4967,-5.4878,-5.4878
9.9805,17.4448,-5.4268,-5.4268
9.9806,17.4423,-5.4878,-5.4878
9.9808,17.2370,-5.4268,-5.4268
9.9800,17.3604,-5.4268,-5.4268
9.9808,17.5234,-5.4268,-5.4268
9.9820,17.4059,-5.4268,-5.4268
9.9822,17.5706,-5.4878,-5.4878
9.9849,17.2513,-5.4268,-5.4268
